Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Dependents_numeric,Credit_History_Status,TotalIncome,LoanAmount_Actual,Loan_to_Income_Ratio
LP001015,Male,Yes,0,Graduate,No,5720.0,0.0,110.0,360.0,1.0,Urban,0.0,Has Credit History,5720.0,110000.0,19.23076923076923
LP001022,Male,Yes,1,Graduate,No,3076.0,1500.0,126.0,360.0,1.0,Urban,1.0,Has Credit History,4576.0,126000.0,27.534965034965033
LP001031,Male,Yes,2,Graduate,No,5000.0,1800.0,208.0,360.0,1.0,Urban,2.0,Has Credit History,6800.0,208000.0,30.58823529411765
LP001035,Male,Yes,2,Graduate,No,2340.0,2546.0,100.0,360.0,,Urban,2.0,Unknown/Not on File,4886.0,100000.0,20.466639377814165
LP001051,Male,No,0,Not Graduate,No,3276.0,0.0,78.0,360.0,1.0,Urban,0.0,Has Credit History,3276.0,78000.0,23.80952380952381
LP001054,Male,Yes,0,Not Graduate,Yes,2165.0,3422.0,152.0,360.0,1.0,Urban,0.0,Has Credit History,5587.0,152000.0,27.206013960980847
LP001055,Female,No,1,Not Graduate,No,2226.0,0.0,59.0,360.0,1.0,Semiurban,1.0,Has Credit History,2226.0,59000.0,26.50494159928122
LP001056,Male,Yes,2,Not Graduate,No,3881.0,0.0,147.0,360.0,0.0,Rural,2.0,No Credit History,3881.0,147000.0,37.876835867044576
LP001059,Male,Yes,2,Graduate,No,13633.0,0.0,280.0,240.0,1.0,Urban,2.0,Has Credit History,13633.0,280000.0,20.538399471869727
LP001067,Male,No,0,Not Graduate,No,2400.0,2400.0,123.0,360.0,1.0,Semiurban,0.0,Has Credit History,4800.0,123000.0,25.625
LP001078,Male,No,0,Not Graduate,No,3091.0,0.0,90.0,360.0,1.0,Urban,0.0,Has Credit History,3091.0,90000.0,29.11679068262698
LP001082,Male,Yes,1,Graduate,No,2185.0,1516.0,162.0,360.0,1.0,Semiurban,1.0,Has Credit History,3701.0,162000.0,43.771953526074036
LP001083,Male,No,3+,Graduate,No,4166.0,0.0,40.0,180.0,,Urban,3.0,Unknown/Not on File,4166.0,40000.0,9.601536245799329
LP001094,Male,Yes,2,Graduate,No,12173.0,0.0,166.0,360.0,0.0,Semiurban,2.0,No Credit History,12173.0,166000.0,13.63673704099236
LP001096,Female,No,0,Graduate,No,4666.0,0.0,124.0,360.0,1.0,Semiurban,0.0,Has Credit History,4666.0,124000.0,26.57522503214745
LP001099,Male,No,1,Graduate,No,5667.0,0.0,131.0,360.0,1.0,Urban,1.0,Has Credit History,5667.0,131000.0,23.116287277218987
LP001105,Male,Yes,2,Graduate,No,4583.0,2916.0,200.0,360.0,1.0,Urban,2.0,Has Credit History,7499.0,200000.0,26.670222696359513
LP001107,Male,Yes,3+,Graduate,No,3786.0,333.0,126.0,360.0,1.0,Semiurban,3.0,Has Credit History,4119.0,126000.0,30.58994901675164
LP001108,Male,Yes,0,Graduate,No,9226.0,7916.0,300.0,360.0,1.0,Urban,0.0,Has Credit History,17142.0,300000.0,17.50087504375219
LP001115,Male,No,0,Graduate,No,1300.0,3470.0,100.0,180.0,1.0,Semiurban,0.0,Has Credit History,4770.0,100000.0,20.964360587002098
LP001121,Male,Yes,1,Not Graduate,No,1888.0,1620.0,48.0,360.0,1.0,Urban,1.0,Has Credit History,3508.0,48000.0,13.683010262257696
LP001124,Female,No,3+,Not Graduate,No,2083.0,0.0,28.0,180.0,1.0,Urban,3.0,Has Credit History,2083.0,28000.0,13.44215074411906
LP001128,Male,No,0,Graduate,No,3909.0,0.0,101.0,360.0,1.0,Urban,0.0,Has Credit History,3909.0,101000.0,25.837810181632133
LP001135,Female,No,0,Not Graduate,No,3765.0,0.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,3765.0,125000.0,33.200531208499335
LP001149,Male,Yes,0,Graduate,No,5400.0,4380.0,290.0,360.0,1.0,Urban,0.0,Has Credit History,9780.0,290000.0,29.652351738241308
LP001153,Male,No,0,Graduate,No,0.0,24000.0,148.0,360.0,0.0,Rural,0.0,No Credit History,24000.0,148000.0,6.166666666666667
LP001163,Male,Yes,2,Graduate,No,4363.0,1250.0,140.0,360.0,,Urban,2.0,Unknown/Not on File,5613.0,140000.0,24.942098699447712
LP001169,Male,Yes,0,Graduate,No,7500.0,3750.0,275.0,360.0,1.0,Urban,0.0,Has Credit History,11250.0,275000.0,24.444444444444443
LP001174,Male,Yes,0,Graduate,No,3772.0,833.0,57.0,360.0,,Semiurban,0.0,Unknown/Not on File,4605.0,57000.0,12.37785016286645
LP001176,Male,No,0,Graduate,No,2942.0,2382.0,125.0,180.0,1.0,Urban,0.0,Has Credit History,5324.0,125000.0,23.478587528174305
LP001177,Female,No,0,Not Graduate,No,2478.0,0.0,75.0,360.0,1.0,Semiurban,0.0,Has Credit History,2478.0,75000.0,30.26634382566586
LP001183,Male,Yes,2,Graduate,No,6250.0,820.0,192.0,360.0,1.0,Urban,2.0,Has Credit History,7070.0,192000.0,27.157001414427157
LP001185,Male,No,0,Graduate,No,3268.0,1683.0,152.0,360.0,1.0,Semiurban,0.0,Has Credit History,4951.0,152000.0,30.700868511411837
LP001187,Male,Yes,0,Graduate,No,2783.0,2708.0,158.0,360.0,1.0,Urban,0.0,Has Credit History,5491.0,158000.0,28.774358040429796
LP001190,Male,Yes,0,Graduate,No,2740.0,1541.0,101.0,360.0,1.0,Urban,0.0,Has Credit History,4281.0,101000.0,23.59261854706844
LP001203,Male,No,0,Graduate,No,3150.0,0.0,176.0,360.0,0.0,Semiurban,0.0,No Credit History,3150.0,176000.0,55.87301587301587
LP001208,Male,Yes,2,Graduate,No,7350.0,4029.0,185.0,180.0,1.0,Urban,2.0,Has Credit History,11379.0,185000.0,16.25801915809825
LP001210,Male,Yes,0,Graduate,Yes,2267.0,2792.0,90.0,360.0,1.0,Urban,0.0,Has Credit History,5059.0,90000.0,17.79007709033406
LP001211,Male,No,0,Graduate,Yes,5833.0,0.0,116.0,360.0,1.0,Urban,0.0,Has Credit History,5833.0,116000.0,19.886850677181553
LP001219,Male,No,0,Graduate,No,3643.0,1963.0,138.0,360.0,1.0,Urban,0.0,Has Credit History,5606.0,138000.0,24.616482340349627
LP001220,Male,Yes,0,Graduate,No,5629.0,818.0,100.0,360.0,1.0,Urban,0.0,Has Credit History,6447.0,100000.0,15.511090429657205
LP001221,Female,No,0,Graduate,No,3644.0,0.0,110.0,360.0,1.0,Urban,0.0,Has Credit History,3644.0,110000.0,30.186608122941823
LP001226,Male,Yes,0,Not Graduate,No,1750.0,2024.0,90.0,360.0,1.0,Semiurban,0.0,Has Credit History,3774.0,90000.0,23.84737678855326
LP001230,Male,No,0,Graduate,No,6500.0,2600.0,200.0,360.0,1.0,Semiurban,0.0,Has Credit History,9100.0,200000.0,21.978021978021978
LP001231,Female,No,0,Graduate,No,3666.0,0.0,84.0,360.0,1.0,Urban,0.0,Has Credit History,3666.0,84000.0,22.913256955810148
LP001232,Male,Yes,0,Graduate,No,4260.0,3900.0,185.0,360.0,,Urban,0.0,Unknown/Not on File,8160.0,185000.0,22.67156862745098
LP001237,Male,Yes,0,Not Graduate,No,4163.0,1475.0,162.0,360.0,1.0,Urban,0.0,Has Credit History,5638.0,162000.0,28.73359347286272
LP001242,Male,No,0,Not Graduate,No,2356.0,1902.0,108.0,360.0,1.0,Semiurban,0.0,Has Credit History,4258.0,108000.0,25.3640206669798
LP001268,Male,No,0,Graduate,No,6792.0,3338.0,187.0,360.0,1.0,Urban,0.0,Has Credit History,10130.0,187000.0,18.460019743336623
LP001270,Male,Yes,3+,Not Graduate,Yes,8000.0,250.0,187.0,360.0,1.0,Semiurban,3.0,Has Credit History,8250.0,187000.0,22.666666666666668
LP001284,Male,Yes,1,Graduate,No,2419.0,1707.0,124.0,360.0,1.0,Urban,1.0,Has Credit History,4126.0,124000.0,30.05332040717402
LP001287,Male,Yes,3+,Not Graduate,No,3500.0,833.0,120.0,360.0,1.0,Semiurban,3.0,Has Credit History,4333.0,120000.0,27.6944380336949
LP001291,Male,Yes,1,Graduate,No,3500.0,3077.0,160.0,360.0,1.0,Semiurban,1.0,Has Credit History,6577.0,160000.0,24.32720085145203
LP001298,Male,Yes,2,Graduate,No,4116.0,1000.0,30.0,180.0,1.0,Urban,2.0,Has Credit History,5116.0,30000.0,5.863956215793589
LP001312,Male,Yes,0,Not Graduate,Yes,5293.0,0.0,92.0,360.0,1.0,Urban,0.0,Has Credit History,5293.0,92000.0,17.38144719440771
LP001313,Male,No,0,Graduate,No,2750.0,0.0,130.0,360.0,0.0,Urban,0.0,No Credit History,2750.0,130000.0,47.27272727272727
LP001317,Female,No,0,Not Graduate,No,4402.0,0.0,130.0,360.0,1.0,Rural,0.0,Has Credit History,4402.0,130000.0,29.532030895047704
LP001321,Male,Yes,2,Graduate,No,3613.0,3539.0,134.0,180.0,1.0,Semiurban,2.0,Has Credit History,7152.0,134000.0,18.736017897091724
LP001323,Female,Yes,2,Graduate,No,2779.0,3664.0,176.0,360.0,0.0,Semiurban,2.0,No Credit History,6443.0,176000.0,27.316467484091262
LP001324,Male,Yes,3+,Graduate,No,4720.0,0.0,90.0,180.0,1.0,Semiurban,3.0,Has Credit History,4720.0,90000.0,19.06779661016949
LP001332,Male,Yes,0,Not Graduate,No,2415.0,1721.0,110.0,360.0,1.0,Semiurban,0.0,Has Credit History,4136.0,110000.0,26.595744680851062
LP001335,Male,Yes,0,Graduate,Yes,7016.0,292.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,7308.0,125000.0,17.10454296661193
LP001338,Female,No,2,Graduate,No,4968.0,0.0,189.0,360.0,1.0,Semiurban,2.0,Has Credit History,4968.0,189000.0,38.04347826086956
LP001347,Female,No,0,Graduate,No,2101.0,1500.0,108.0,360.0,0.0,Rural,0.0,No Credit History,3601.0,108000.0,29.991668980838657
LP001348,Male,Yes,3+,Not Graduate,No,4490.0,0.0,125.0,360.0,1.0,Urban,3.0,Has Credit History,4490.0,125000.0,27.839643652561247
LP001351,Male,Yes,0,Graduate,No,2917.0,3583.0,138.0,360.0,1.0,Semiurban,0.0,Has Credit History,6500.0,138000.0,21.23076923076923
LP001352,Male,Yes,0,Not Graduate,No,4700.0,0.0,135.0,360.0,0.0,Semiurban,0.0,No Credit History,4700.0,135000.0,28.72340425531915
LP001358,Male,Yes,0,Graduate,No,3445.0,0.0,130.0,360.0,0.0,Semiurban,0.0,No Credit History,3445.0,130000.0,37.735849056603776
LP001359,Male,Yes,0,Graduate,No,7666.0,0.0,187.0,360.0,1.0,Semiurban,0.0,Has Credit History,7666.0,187000.0,24.393425515262198
LP001361,Male,Yes,0,Graduate,No,2458.0,5105.0,188.0,360.0,0.0,Rural,0.0,No Credit History,7563.0,188000.0,24.857860637313234
LP001366,Female,No,0,Graduate,No,3250.0,0.0,95.0,360.0,1.0,Semiurban,0.0,Has Credit History,3250.0,95000.0,29.23076923076923
LP001368,Male,No,0,Graduate,No,4463.0,0.0,65.0,360.0,1.0,Semiurban,0.0,Has Credit History,4463.0,65000.0,14.564194488012548
LP001375,Male,Yes,1,Graduate,No,4083.0,1775.0,139.0,60.0,1.0,Urban,1.0,Has Credit History,5858.0,139000.0,23.72823489245476
LP001380,Male,Yes,0,Graduate,Yes,3900.0,2094.0,232.0,360.0,1.0,Rural,0.0,Has Credit History,5994.0,232000.0,38.70537203870537
LP001386,Male,Yes,0,Not Graduate,No,4750.0,3583.0,144.0,360.0,1.0,Semiurban,0.0,Has Credit History,8333.0,144000.0,17.280691227649108
LP001400,Male,No,0,Graduate,No,3583.0,3435.0,155.0,360.0,1.0,Urban,0.0,Has Credit History,7018.0,155000.0,22.086064405813623
LP001407,Male,Yes,0,Graduate,No,3189.0,2367.0,186.0,360.0,1.0,Urban,0.0,Has Credit History,5556.0,186000.0,33.47732181425486
LP001413,Male,No,0,Graduate,Yes,6356.0,0.0,50.0,360.0,1.0,Rural,0.0,Has Credit History,6356.0,50000.0,7.8665827564505975
LP001415,Male,Yes,1,Graduate,No,3413.0,4053.0,126.0,360.0,1.0,Semiurban,1.0,Has Credit History,7466.0,126000.0,16.87650683096705
LP001419,Female,Yes,0,Graduate,No,7950.0,0.0,185.0,360.0,1.0,Urban,0.0,Has Credit History,7950.0,185000.0,23.270440251572328
LP001420,Male,Yes,3+,Graduate,No,3829.0,1103.0,163.0,360.0,0.0,Urban,3.0,No Credit History,4932.0,163000.0,33.04947283049473
LP001428,Male,Yes,3+,Graduate,No,72529.0,0.0,360.0,360.0,1.0,Urban,3.0,Has Credit History,72529.0,360000.0,4.963531828647851
LP001445,Male,Yes,2,Not Graduate,No,4136.0,0.0,149.0,480.0,0.0,Rural,2.0,No Credit History,4136.0,149000.0,36.02514506769826
LP001446,Male,Yes,0,Graduate,No,8449.0,0.0,257.0,360.0,1.0,Rural,0.0,Has Credit History,8449.0,257000.0,30.417800923186174
LP001450,Male,Yes,0,Graduate,No,4456.0,0.0,131.0,180.0,0.0,Semiurban,0.0,No Credit History,4456.0,131000.0,29.398563734290843
LP001452,Male,Yes,2,Graduate,No,4635.0,8000.0,102.0,180.0,1.0,Rural,2.0,Has Credit History,12635.0,102000.0,8.072813612979818
LP001455,Male,Yes,0,Graduate,No,3571.0,1917.0,135.0,360.0,1.0,Urban,0.0,Has Credit History,5488.0,135000.0,24.599125364431487
LP001466,Male,No,0,Graduate,No,3066.0,0.0,95.0,360.0,1.0,Semiurban,0.0,Has Credit History,3066.0,95000.0,30.984996738421398
LP001471,Male,No,2,Not Graduate,No,3235.0,2015.0,77.0,360.0,1.0,Semiurban,2.0,Has Credit History,5250.0,77000.0,14.666666666666666
LP001472,Female,No,0,Graduate,No,5058.0,0.0,200.0,360.0,1.0,Rural,0.0,Has Credit History,5058.0,200000.0,39.541320680110715
LP001475,Male,Yes,0,Graduate,Yes,3188.0,2286.0,130.0,360.0,,Rural,0.0,Unknown/Not on File,5474.0,130000.0,23.748629886737305
LP001483,Male,Yes,3+,Graduate,No,13518.0,0.0,390.0,360.0,1.0,Rural,3.0,Has Credit History,13518.0,390000.0,28.850421660008877
LP001486,Male,Yes,1,Graduate,No,4364.0,2500.0,185.0,360.0,1.0,Semiurban,1.0,Has Credit History,6864.0,185000.0,26.952214452214452
LP001490,Male,Yes,2,Not Graduate,No,4766.0,1646.0,100.0,360.0,1.0,Semiurban,2.0,Has Credit History,6412.0,100000.0,15.595757953836557
LP001496,Male,Yes,1,Graduate,No,4609.0,2333.0,123.0,360.0,0.0,Semiurban,1.0,No Credit History,6942.0,123000.0,17.718236819360413
LP001499,Female,Yes,3+,Graduate,No,6260.0,0.0,110.0,360.0,1.0,Semiurban,3.0,Has Credit History,6260.0,110000.0,17.57188498402556
LP001500,Male,Yes,1,Graduate,No,3333.0,4200.0,256.0,360.0,1.0,Urban,1.0,Has Credit History,7533.0,256000.0,33.98380459312359
LP001501,Male,Yes,0,Graduate,No,3500.0,3250.0,140.0,360.0,1.0,Semiurban,0.0,Has Credit History,6750.0,140000.0,20.74074074074074
LP001517,Male,Yes,3+,Graduate,No,9719.0,0.0,61.0,360.0,1.0,Urban,3.0,Has Credit History,9719.0,61000.0,6.276365881263504
LP001527,Male,Yes,3+,Graduate,No,6835.0,0.0,188.0,360.0,,Semiurban,3.0,Unknown/Not on File,6835.0,188000.0,27.505486466715436
LP001534,Male,No,0,Graduate,No,4452.0,0.0,131.0,360.0,1.0,Rural,0.0,Has Credit History,4452.0,131000.0,29.424977538185086
LP001542,Female,Yes,0,Graduate,No,2262.0,0.0,126.0,480.0,0.0,Semiurban,0.0,No Credit History,2262.0,126000.0,55.70291777188329
LP001547,Male,Yes,1,Graduate,No,3901.0,0.0,116.0,360.0,1.0,Urban,1.0,Has Credit History,3901.0,116000.0,29.735965137144323
LP001548,Male,Yes,2,Not Graduate,No,2687.0,0.0,50.0,180.0,1.0,Rural,2.0,Has Credit History,2687.0,50000.0,18.608113137327877
LP001558,Male,No,0,Graduate,No,2243.0,2233.0,107.0,360.0,,Semiurban,0.0,Unknown/Not on File,4476.0,107000.0,23.905272564789993
LP001561,Female,Yes,0,Graduate,No,3417.0,1287.0,200.0,360.0,1.0,Semiurban,0.0,Has Credit History,4704.0,200000.0,42.51700680272109
LP001563,Male,No,0,Graduate,No,1596.0,1760.0,119.0,360.0,0.0,Urban,0.0,No Credit History,3356.0,119000.0,35.45887961859356
LP001567,Male,Yes,3+,Graduate,No,4513.0,0.0,120.0,360.0,1.0,Rural,3.0,Has Credit History,4513.0,120000.0,26.589851539995568
LP001568,Male,Yes,0,Graduate,No,4500.0,0.0,140.0,360.0,1.0,Semiurban,0.0,Has Credit History,4500.0,140000.0,31.11111111111111
LP001573,Male,Yes,0,Not Graduate,No,4523.0,1350.0,165.0,360.0,1.0,Urban,0.0,Has Credit History,5873.0,165000.0,28.094670526136557
