Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Dependents_numeric,Credit_History_Status,TotalIncome,LoanAmount_Actual,Loan_to_Income_Ratio,LoanIncomeRatio,Has_Coapplicant
LP001015,Male,Yes,0,Graduate,No,5720.0,0.0,110.0,360.0,1.0,Urban,0.0,Has Credit History,5720.0,110000.0,19.23076923076923,16.36904761904762,0
LP001022,Male,Yes,1,Graduate,No,3076.0,1500.0,126.0,360.0,1.0,Urban,1.0,Has Credit History,4576.0,126000.0,27.534965034965033,22.59684361549498,1
LP001031,Male,Yes,2,Graduate,No,5000.0,1800.0,208.0,360.0,1.0,Urban,2.0,Has Credit History,6800.0,208000.0,30.58823529411765,26.666666666666668,1
LP001035,Male,Yes,2,Graduate,No,2340.0,2546.0,100.0,360.0,,Urban,2.0,Unknown/Not on File,4886.0,100000.0,20.466639377814165,16.989466530750935,1
LP001051,Male,No,0,Not Graduate,No,3276.0,0.0,78.0,360.0,1.0,Urban,0.0,Has Credit History,3276.0,78000.0,23.80952380952381,18.24134705332086,0
LP001054,Male,Yes,0,Not Graduate,Yes,2165.0,3422.0,152.0,360.0,1.0,Urban,0.0,Has Credit History,5587.0,152000.0,27.206013960980847,23.075755275542736,1
LP001055,Female,No,1,Not Graduate,No,2226.0,0.0,59.0,360.0,1.0,Semiurban,1.0,Has Credit History,2226.0,59000.0,26.50494159928122,18.288902665840048,0
LP001056,Male,Yes,2,Not Graduate,No,3881.0,0.0,147.0,360.0,0.0,Rural,2.0,No Credit History,3881.0,147000.0,37.876835867044576,30.11677934849416,0
LP001059,Male,Yes,2,Graduate,No,13633.0,0.0,280.0,240.0,1.0,Urban,2.0,Has Credit History,13633.0,280000.0,20.538399471869727,19.13483222852457,0
LP001067,Male,No,0,Not Graduate,No,2400.0,2400.0,123.0,360.0,1.0,Semiurban,0.0,Has Credit History,4800.0,123000.0,25.625,21.20689655172414,1
LP001078,Male,No,0,Not Graduate,No,3091.0,0.0,90.0,360.0,1.0,Urban,0.0,Has Credit History,3091.0,90000.0,29.11679068262698,21.999511121975065,0
LP001082,Male,Yes,1,Graduate,No,2185.0,1516.0,162.0,360.0,1.0,Semiurban,1.0,Has Credit History,3701.0,162000.0,43.771953526074036,34.46075303126994,1
LP001083,Male,No,3+,Graduate,No,4166.0,0.0,40.0,180.0,,Urban,3.0,Unknown/Not on File,4166.0,40000.0,9.601536245799329,7.742934572202865,0
LP001094,Male,Yes,2,Graduate,No,12173.0,0.0,166.0,360.0,0.0,Semiurban,2.0,No Credit History,12173.0,166000.0,13.63673704099236,12.601533439611327,0
LP001096,Female,No,0,Graduate,No,4666.0,0.0,124.0,360.0,1.0,Semiurban,0.0,Has Credit History,4666.0,124000.0,26.57522503214745,21.884927638545708,0
LP001099,Male,No,1,Graduate,No,5667.0,0.0,131.0,360.0,1.0,Urban,1.0,Has Credit History,5667.0,131000.0,23.116287277218987,19.649017549122544,0
LP001105,Male,Yes,2,Graduate,No,4583.0,2916.0,200.0,360.0,1.0,Urban,2.0,Has Credit History,7499.0,200000.0,26.670222696359513,23.53218025650077,1
LP001107,Male,Yes,3+,Graduate,No,3786.0,333.0,126.0,360.0,1.0,Semiurban,3.0,Has Credit History,4119.0,126000.0,30.58994901675164,24.614182457511234,1
LP001108,Male,Yes,0,Graduate,No,9226.0,7916.0,300.0,360.0,1.0,Urban,0.0,Has Credit History,17142.0,300000.0,17.50087504375219,16.53621430933745,1
LP001115,Male,No,0,Graduate,No,1300.0,3470.0,100.0,180.0,1.0,Semiurban,0.0,Has Credit History,4770.0,100000.0,20.964360587002098,17.331022530329292,1
LP001121,Male,Yes,1,Not Graduate,No,1888.0,1620.0,48.0,360.0,1.0,Urban,1.0,Has Credit History,3508.0,48000.0,13.683010262257696,10.64773735581189,1
LP001124,Female,No,3+,Not Graduate,No,2083.0,0.0,28.0,180.0,1.0,Urban,3.0,Has Credit History,2083.0,28000.0,13.44215074411906,9.082062925721699,0
LP001128,Male,No,0,Graduate,No,3909.0,0.0,101.0,360.0,1.0,Urban,0.0,Has Credit History,3909.0,101000.0,25.837810181632133,20.57445508250153,0
