Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Dependents_numeric,Credit_History_Status,TotalIncome,LoanAmount_Actual,Loan_to_Income_Ratio,Score_CreditHistory,Score_LoanToIncome,Score_Employment,Score_Stability,Approval_Likelihood_Score,Likelihood_Band
LP001015,Male,Yes,0,Graduate,No,5720.0,0.0,110.0,360.0,1.0,Urban,0.0,Has Credit History,5720.0,110000.0,19.23076923076923,40,18,10,20,92.6,High
LP001022,Male,Yes,1,Graduate,No,3076.0,1500.0,126.0,360.0,1.0,Urban,1.0,Has Credit History,4576.0,126000.0,27.534965034965033,40,10,10,17,81.1,High
LP001031,Male,Yes,2,Graduate,No,5000.0,1800.0,208.0,360.0,1.0,Urban,2.0,Has Credit History,6800.0,208000.0,30.58823529411765,40,10,10,17,81.1,High
LP001035,Male,Yes,2,Graduate,No,2340.0,2546.0,100.0,360.0,,Urban,2.0,Unknown/Not on File,4886.0,100000.0,20.466639377814165,20,18,10,17,68.4,Medium
LP001051,Male,No,0,Not Graduate,No,3276.0,0.0,78.0,360.0,1.0,Urban,0.0,Has Credit History,3276.0,78000.0,23.80952380952381,40,18,10,14,86.3,High
LP001054,Male,Yes,0,Not Graduate,Yes,2165.0,3422.0,152.0,360.0,1.0,Urban,0.0,Has Credit History,5587.0,152000.0,27.206013960980847,40,10,6,17,76.8,High
LP001055,Female,No,1,Not Graduate,No,2226.0,0.0,59.0,360.0,1.0,Semiurban,1.0,Has Credit History,2226.0,59000.0,26.50494159928122,40,10,10,11,74.7,High
LP001056,Male,Yes,2,Not Graduate,No,3881.0,0.0,147.0,360.0,0.0,Rural,2.0,No Credit History,3881.0,147000.0,37.876835867044576,8,3,10,14,36.8,Low
LP001059,Male,Yes,2,Graduate,No,13633.0,0.0,280.0,240.0,1.0,Urban,2.0,Has Credit History,13633.0,280000.0,20.538399471869727,40,18,10,15,87.4,High
LP001067,Male,No,0,Not Graduate,No,2400.0,2400.0,123.0,360.0,1.0,Semiurban,0.0,Has Credit History,4800.0,123000.0,25.625,40,18,10,14,86.3,High
LP001078,Male,No,0,Not Graduate,No,3091.0,0.0,90.0,360.0,1.0,Urban,0.0,Has Credit History,3091.0,90000.0,29.11679068262698,40,10,10,14,77.9,High
LP001082,Male,Yes,1,Graduate,No,2185.0,1516.0,162.0,360.0,1.0,Semiurban,1.0,Has Credit History,3701.0,162000.0,43.77195352607403,40,3,10,17,73.7,High
LP001083,Male,No,3+,Graduate,No,4166.0,0.0,40.0,180.0,,Urban,3.0,Unknown/Not on File,4166.0,40000.0,9.601536245799329,20,25,10,12,70.5,High
LP001094,Male,Yes,2,Graduate,No,12173.0,0.0,166.0,360.0,0.0,Semiurban,2.0,No Credit History,12173.0,166000.0,13.63673704099236,8,25,10,17,63.2,Medium
LP001096,Female,No,0,Graduate,No,4666.0,0.0,124.0,360.0,1.0,Semiurban,0.0,Has Credit History,4666.0,124000.0,26.57522503214745,40,10,10,17,81.1,High
LP001099,Male,No,1,Graduate,No,5667.0,0.0,131.0,360.0,1.0,Urban,1.0,Has Credit History,5667.0,131000.0,23.116287277218987,40,18,10,14,86.3,High
